0.2817,0.9169,0.5555,0.1228,0.6684,0.613,0.9184,0.9544,0.711,0.1608,0.449,0.4563,0.7324,0.3414,0.499,0.6699,0.6812,0.0586,0.8553,0.9589,0.47,0.1916,0.7803,0.8456,0.0062,0.6638,0.3416,0.4431,0.8483,0.4637,0.4971,0.5053,
0.4047,0.9047,0.84,0.2482,0.7276,0.3687,0.9952,0.1309,0.2497,0.1431,0.4079,0.7274,0.2606,0.7309,0.6696,0.67,0.5277,0.1896,0.5826,0.3979,0.2279,0.6404,0.8835,0.1074,0.2753,0.0742,0.9165,0.8678,0.2063,0.9805,0.5758,0.338,
0.0142,0.1244,0.5216,0.903,0.7129,0.006,0.0139,0.3308,0.9538,0.1506,0.7069,0.2473,0.7205,0.3986,0.3985,0.8212,0.9803,0.7905,0.0405,0.059,0.1881,0.4754,0.279,0.0199,0.7023,0.3122,0.4188,0.0771,0.5018,0.4746,0.9832,0.0777,
0.0725,0.4278,0.973,0.881,0.9694,0.0969,0.523,0.2931,0.3551,0.9177,0.8982,0.8562,0.7652,0.7255,0.6781,0.302,0.458,0.1168,0.5334,0.73,0.9674,0.0033,0.2193,0.7374,0.8994,0.5625,0.278,0.7895,0.584,0.6901,0.4748,0.0972,
0.9293,0.3563,0.1734,0.1464,0.711,0.9787,0.6992,0.8091,0.5733,0.0397,0.2352,0.6615,0.2188,0.6928,0.9501,0.7296,0.6213,0.0341,0.8646,0.3906,0.6084,0.0444,0.4314,0.5668,0.8273,0.9471,0.9239,0.6684,0.9361,0.8762,0.5082,0.9645,
0.8423,0.2941,0.3064,0.1902,0.947,0.5637,0.8522,0.2359,0.6492,0.438,0.0834,0.7065,0.8147,0.0043,0.4236,0.9852,0.5179,0.7962,0.5602,0.1945,0.1311,0.3677,0.2465,0.1058,0.7524,0.6163,0.823,0.6172,0.0397,0.5345,0.1855,0.8928,
0.7479,0.8717,0.609,0.6363,0.6584,0.3987,0.1797,0.2586,0.1273,0.0767,0.5817,0.8901,0.1858,0.4589,0.642,0.2891,0.9777,0.0733,0.3429,0.7003,0.3346,0.375,0.98,0.6301,0.4558,0.0892,0.7643,0.3222,0.9885,0.4161,0.4458,0.4407,
0.2814,0.6189,0.4702,0.0987,0.2256,0.9742,0.7721,0.903,0.8894,0.9279,0.5532,0.1348,0.1032,0.5717,0.3005,0.5259,0.259,0.2308,0.8551,0.3535,0.8492,0.036,0.5611,0.7316,0.6905,0.8448,0.3956,0.0471,0.3533,0.7687,0.5075,0.4627,
0.0475,0.8685,0.7796,0.287,0.1041,0.2848,0.8675,0.7988,0.2369,0.1876,0.6668,0.8065,0.9657,0.4471,0.3137,0.8198,0.9435,0.8571,0.6331,0.2176,0.4378,0.0722,0.413,0.2056,0.8897,0.1626,0.0094,0.6769,0.2956,0.8336,0.5605,0.309,
0.1411,0.9093,0.5261,0.3638,0.7522,0.638,0.3567,0.6916,0.2245,0.7415,0.848,0.3829,0.5388,0.9001,0.1328,0.3597,0.0817,0.5423,0.3305,0.9553,0.5479,0.392,0.5827,0.1888,0.1252,0.2136,0.5795,0.0118,0.9325,0.5926,0.709,0.2758,
0.9176,0.3895,0.6462,0.5503,0.807,0.7141,0.5379,0.2061,0.2426,0.8813,0.9401,0.3724,0.9443,0.8288,0.3127,0.4743,0.5889,0.9062,0.1918,0.0607,0.1132,0.775,0.1209,0.547,0.3147,0.4012,0.0467,0.311,0.9502,0.7656,0.1634,0.3058,
0.0136,0.9703,0.1231,0.9834,0.5116,0.8758,0.1216,0.8585,0.851,0.2695,0.6155,0.4837,0.8994,0.8363,0.33,0.9575,0.8906,0.877,0.7759,0.3399,0.6054,0.8069,0.7116,0.5126,0.6802,0.9516,0.8551,0.0869,0.4689,0.057,0.6831,0.9379,
0.617,0.2289,0.3352,0.8217,0.3918,0.7276,0.4855,0.3194,0.861,0.1564,0.5366,0.0439,0.2057,0.1028,0.6499,0.6435,0.8175,0.2193,0.9302,0.6432,0.336,0.0637,0.5525,0.5725,0.456,0.7552,0.7383,0.1488,0.1569,0.6532,0.2685,0.5078,
0.9879,0.8117,0.6546,0.6021,0.1828,0.9256,0.1795,0.9264,0.6693,0.8451,0.767,0.6679,0.489,0.5076,0.0438,0.232,0.7516,0.3124,0.0136,0.846,0.0079,0.5462,0.4844,0.6058,0.8468,0.4569,0.7552,0.8971,0.5946,0.9696,0.1037,0.598,
0.2291,0.8382,0.2957,0.8465,0.0059,0.2369,0.6804,0.4468,0.8404,0.4076,0.4329,0.1775,0.1881,0.0014,0.1566,0.3633,0.0214,0.1789,0.3708,0.0803,0.5175,0.365,0.3713,0.271,0.2353,0.7972,0.5767,0.867,0.889,0.6476,0.7489,0.7381,
0.3062,0.5537,0.414,0.9176,0.7952,0.8491,0.397,0.0903,0.94,0.6505,0.6336,0.7699,0.7942,0.2282,0.3241,0.9438,0.5476,0.7629,0.0553,0.2166,0.0062,0.6749,0.7304,0.6447,0.6407,0.2029,0.0213,0.5226,0.5378,0.8017,0.5823,0.3548,
0.3188,0.233,0.4546,0.1262,0.9748,0.9301,0.9248,0.7717,0.6177,0.3311,0.6034,0.437,0.3402,0.3973,0.6405,0.7208,0.7384,0.4581,0.8034,0.5948,0.1621,0.8593,0.6118,0.1082,0.4263,0.6282,0.8415,0.3008,0.5441,0.5166,0.4933,0.9724,
0.0201,0.3336,0.7511,0.0868,0.3848,0.4376,0.5508,0.6236,0.9401,0.6231,0.1222,0.6342,0.1401,0.4054,0.2754,0.1079,0.6352,0.8865,0.258,0.0058,0.7718,0.9649,0.7283,0.4859,0.258,0.645,0.76,0.9051,0.7798,0.5942,0.8239,0.6627,
